DiagnosticCentreName,DiagnosticCentreAddress,CityName
"Max Super Speciality Hospital(A Unit Of Balaji Medical & Diagnostic Research Centre)","108A, IP Extension, I.P.Extension, Patparganj, Delhi, 110092 Tel.No.011-43033333",DELHI/HQ/DIRECTORATE/MINISTRY
"Institute Of Neurosciences Kolkata,","185/1, AJC Bose Road, Kolkata",Kolkata
"Teerthanker Aadinath Bright Dental Care","11, 12/1513, Wazir Nagar, Bhishampitah Marg, Kotla Mubarkpur, New Delhi110003. ",DELHI/HQ/DIRECTORATE/MINISTRY
"Shree Pragati Foundations Hira Mongi Navneet Hospital Mulund","Valji Ladha Road, Mulund (West) Mumbai 400080 Number 022-35043504 (NABH)   Mob 9137945408
",Mumbai
"Prakash Eye","E-79, GANGA MARG PREM NAGAR, KHATIPURA JHOTWARA, JAIPUR",Jaipur
"Nuha Hospitals, Guntur","12-19-61/62 Old Bank Road Kothapet Guntur - 522001.TEl no: 0863 2255559 email:drnawazish@gmail.com, Contact Person Mr.Sameer 9966090507",Hyderabad
"Centre For Sight","304309, 3rd Floor, Ring Road Mall, Sector3, Rohini. Tel.No.011 43089700/01/02/03.",DELHI/HQ/DIRECTORATE/MINISTRY
"M/S Rajiv Gandhi Centre For Biotechnology Medical Laboratory Services (Rgcb Mls)","Poojappura, Thycaud Po., Trivandrum:",Trivandrum
"Big Smile Dental Clinic","Shop No. 1, Executive Residency, Near Big Bazar, Nashik Pune Highway, Nashik Road, Nashik -422101",Mumbai
"Vedanta Center For Ophthalmic Sciences","2ND Floor, Legend Plaza Near Passport Office, Ashiyana-Digha Road, Samanpura, Patna - 800014 Dr. Navneet Kumar, Director, Mob. 9602293128, email -navneet148@gmail.com and Amarjeet Kumar (TPA co-ordina",Patna
"Dr. Prabhat Memorial Hiramati Hospital","Plot No. 106/107-B Road No. 2, (Near Dinkar Golamber) Rajendra Nagar, Patna - 800016",Patna
"Chandan Diagnostic Centre, Prayagraj","49/19B, Kamla Nehru Road, Katra, Prayagraj- 211001",Prayagraj
"Midland Nursing Home Pvt. Ltd","19/1, B.T. ROAD, KOLKATA-700056",Kolkata
"American Oncology Institute     ( A Unit Of Cancer Treatment Services Hyderabad Pvt., Ltd.,)","1-100/1/CCH, Nallagandla Village, Serilingampally, Hyderabad-500 019, Tel.No.040-67199999, ",Hyderabad
"Guardian Hospital (Jld)","1, Link Road, Guru Amar Dass Chowk, Opposite St Joseph School, Jalandhar
Tel:0181-2463232
Mob:9876188088",Chandigarh
"Sri Sai Lions Netralaya","B-144, P.C. Colony, Kankarbagh, Patna - 800020 
Ashok Kumar 9471002353 sslnpatna@gmail.com",Patna
"Bansal Global Hospital","C10, Ramgarh Colony, G.T. Karnal Road, Delhi  110033. Tel. No. 01127636400.",DELHI/HQ/DIRECTORATE/MINISTRY
"Prk Hospitals","Sy. No.360, 5-4/12-16, NH-65, Chandanagar, Hyderabad.
PMJAY NODAL PERSON:Nagesh,
contact:9154169394,
Email:prkhospitals.insurance@gmail.com ",Hyderabad
"Shri Narayan Dental Clinic","UGF Shop No.4 Ganpatiplaza Terhi Puliya Kurshi Road Near Terhi Puliya Sabji Mandi Lucknow-226021.",Lucknow
"Trichy Srm Medical College Hospital And Research Centre","SRM NAGAR,TRICHY-CHENNAI NATIONAL HIGHWAY,IRUNGALUR,TRICHY-621105",Chennai
"Priyush Neuro And Super Speciality Hospital","2/154, SFS COLONY, B-2 BYPASS, MANSAROVAR.",Jaipur
"M/S. Vasan Health Care Private Limited, Guntur","12-25-174, Sivalayam Street  opp. Shivalayam, Kothapeta, Guntur, Andhra Pradesh 522001 mail guntur.ap@vasaneye.in
Contact Person: Rahul Tomar Mobile:8463818721 Nodal Officer: Mr. Kishan Kumar Srivasta",Hyderabad
"Tuli Diagnostic Centre","Majitha Road, Amritsar
Mob: 9780503005",Chandigarh
"Netrika Netralaya","13, Jyoti Nagar Babadia Kalan Near Kendria Vidhyalaya-3 and, Narmadapuram Rd, near Aashima Mall, Bhopal, Madhya Pradesh 462026",Bhopal
"Usmanpura Imaging Centre","30-AMBICA SOCIETY, OPP USMANPURA GARDEN, USMANPURA, AHMEDABAD-380013 MOB-9377693043, 8511195347Ph. No. 079-69690925 E-mail- nrup.kansara@mitushihealthcare.in ",Ahmedabad
"Ace Heart & Vascular Institute","Shivalik Hospital premise, Sec-69, Mohali 160062 Punjab",Chandigarh
"Lucid Medical Diagnostics Pvt.,Ltd.,","Plot No 203-203A Vasavi Nagar Kharkhana Secunderabad Tel-040 44114444",Hyderabad
"Universal Centre Of Health Science","Bypass Road, Molarband Extension, Badarpur, New Delhi110044. Tel. No. 8800800500",DELHI/HQ/DIRECTORATE/MINISTRY
"Bansal Eye Hospital (Ambala)","121, Civil Lines, Near Near Kalka Chowk, Ambala City 134003, Haryana",Chandigarh
"Regency Hospital","Regency Hospital 16/17, Block K, Govind Nagar, Kanpur Nagar, Kanpur 208006, Uttar Pradesh. ",Kanpur
"Aravind Eye Hospital","12-2-284/A/1, Santoshnagar colony, Mehdipatnam, Hyderabad-500 028, Tel.No.040-23513743",Hyderabad
"Continental Hospitals Limited, Gachibowli","Plot No.3, Road No.2, IT ",Hyderabad
"Renuka Eye Institute","25/3, Jessore Road(S), Rathtala, Barasat, Dist - 24 Parganas(N), Kolkata -700127",Kolkata
"Life  Line Hospital, Varanasi","BHU DLW ROAD, SUNDERPUR, VARANASI-221005",Prayagraj
"Bmr Hospitals Guntur","#D.No.6/2, Arundalpet, Guntur, A.P -522 002, Tel : 0863-2241370; 0863-2354189, Mail Id: bmrhospitals@yahoo.com
Contact Person : B.Venkata Siva Reddy Mob: 9052345651, Nodal Officer: Dr. K Srinivasa Rao",Hyderabad
"Era Medical College And Hosptial","Sarfarazganj,Hardoi Road, Lucknow-226003",Lucknow
"Rhythm Heart Institute (A Unit Of Synergy Life Care Pvt. Ltd.)","Nr. Siddarth Bunglows, Sama- Savali Road, Vadodara - 390022",Ahmedabad
"Kashi Netralary, Varanasi","27/A, BHUBANESWAR NAGAR COLONY, TAGORE TOWN, ORDERLY BAZAR, VARANASI, UTTAR PRADESH 221002",Prayagraj
"S.R.Kalla Memorial Gastro & General Hospital","78-79, DHULESHWAR GARDEN",Jaipur
"Rathi Hospital","Plot No.3, Pratap Vihar, NangloiNagafgarh Road, New Delhi110041. Tel. No. 9871173355.",DELHI/HQ/DIRECTORATE/MINISTRY
"Dr. Vijay Ent Hospital","Saint Stephen Circle Makarwali Road Ajmer",Jaipur
"Omni Hospitals(Unit Of Incor Hospitals Vizag ) Visakhapatnam","Waltair Main Road, opp. Lions Club, Ram Nagar, Visakhapatnam, Andhra Pradesh 530002.Tel. No.  :  8880101000; 	Contact Person   :  Dr. Brahmaji Mob  9949242678 drbrahmaji.bdmo@omnihospitals.in         ",Hyderabad
"Agrasen Dental Wellness Centre","553/37 Onkar Nagar-C Tri Nagar Delhi 110035 Nodal Officer Dr. Rahul Jindal Mob 9582231230 Eamai ID rahuljindal5@gmail.com",DELHI/HQ/DIRECTORATE/MINISTRY
"Jawahar Lal Nehru Cancer Hospital","32 Idgah Hills Bhopal MP",Bhopal
"M/S Aradhana Eye Hospital",TRIVANDRUM,Trivandrum
"Crescent Hospital& Heart Centre","Near Lokmat Square,
Nagpur, Maharashtra
440012
 Tel:- 0712 2421822,
2423813, 6640786
9765404950
qureshyasif@gmail.com
",Nagpur
"Shelar Hospital And Icu","Office No 1and 2, Tulsi Prerana CHS, Plot Number 09, Sector-1, Khanda Colony, Panvel - 410206",Mumbai
"Delhi 32 Dental Centre","1/2320, Mandoli Road, Ram Nagar, Shahdara, Delhi110032. ",DELHI/HQ/DIRECTORATE/MINISTRY
"Procare Dental Clinic & Implant Centre","Shop No.2, Skytech Magadh Apartment, Sector3, Vaishali, Ghaziabad201010. ",DELHI/HQ/DIRECTORATE/MINISTRY
"Siyaram Hospital","22-B, Chand Bihari Nagar, Khatipura, Jaipur ",Jaipur
"Shri Ram Singh Hospital","B-25-26, 26-A, Swaran Cinema Road, East Krishna Nagar, Delhi - 110055. 

Nodal Officer: 
Dr. Ashok Singh 
Mob. No. 9811100764 
Email Id. srshhi@gmail.com  
",DELHI/HQ/DIRECTORATE/MINISTRY
"Wockhardt Hospital Mira Road","Umrao Institute of Medical Sciences and Research,Near Railway Station, Mira Road East, Thane 401107",Mumbai
"Agrasen Dental Wellness Centre","553/37, Onkar Nagar-C, Tri Nagar, Delhi 110035. Nodal Officer: Dr. Rahul Jindal, Mob. 9582231230. Email. Rahuljindal5@gmail.com",DELHI/HQ/DIRECTORATE/MINISTRY
"Hosp9p127149 Surbhi Hospital","Golf Course Road, Morna, Sector-35, Noida-201301.
Tel. No. 951202508841, 42, 8750044324.
Nodal Officer: 
Dr. V. D. Tripathi
Mob. No. 8744002892
surbhihospital35@gmail.com

",DELHI/HQ/DIRECTORATE/MINISTRY
"Nks Hospital","219220, Gulabi Bagh, Delhi  110007. Tel. No. 01123666666.",DELHI/HQ/DIRECTORATE/MINISTRY
"Sagar Hospitals Jayanagar",cghs.jnr@sagarhospitals.in,Bengaluru
"Sai Retina Foundation","F-5, Basement ",DELHI/HQ/DIRECTORATE/MINISTRY
"Ankur Hospital, Prayagraj","1B/26 LAL BIHARA BAMRAULI, ALLAHABAD",Prayagraj
"""M/S. Assure Multispeciality Hospital, Vijayawada","520002, 33-25-35, Puspha Hotel Rd, Suryaraopeta, Suryaraopet, Vijayawada, Andhra Pradesh 520002
 Tel. No.: 0886 2434545",Hyderabad
"Chetna Dental Centre Lucknow","N-382, Sector N, Ashiyana, Near Passi Quila Chauraha, Bijnore Road, Lucknow-226012",Lucknow
"M Genix Diagonstic","First Floor, A-69 Jagdamba Nagar Heerapura, Ajmer Road Jaipur ",Jaipur
"Pushpagiri Eye Institute(A Division Of Pushpagirivitreo Institute)","Plot No,241, Uma Plaza, West Marredpally, Secunderabad-500 025       ",Hyderabad
"Ameya Netralaya","2nd Floor, Sant Bhoomi Co-op Society, Behind Nigdi Bus Stop, Pune-44",Pune
"Sarvodaya Eye Care","301, Maitreya Business Park, Hanuman Road, Ville Parle (East) Mumbai 400057 MoB nO.-9820475877
",Mumbai
"Mrityunjay  Hospital Multispecialty & Trauma Centre,","143, College Road, Near Loyal Book depot, Begum Bridge Road Meerut Phone No. 2666510, 2951188",Meerut
"Pasricha Medical Centre","Main road,Haripura, Amritsar, Punjab 143001
0183-5060631; 9653470000",Chandigarh
"Hospital Akshayvat",", HIG 110/111, ADA COLONY, NAINI, ALLAHABAD, UTTAR PRADESH",Prayagraj
"Ganesh Diagnostic And Imaging Centre Pvt. Ltd. Hari Nagar","WZ -409, Hari Nagar, Near DDU Hospital, New Delhi-110064 Address Changed from C1, Hari Nagar, Near DDU Hospital, New Delhi. w.e.f 10.01.2024, Tel.No. 01125126431, 9811067479 ",DELHI/HQ/DIRECTORATE/MINISTRY
"The Dental Hub And Implant Centre","Shop No. C14/1&2, Main Road, Masoodpur Market, Vasant Kunj, New Delhi110070. ",DELHI/HQ/DIRECTORATE/MINISTRY
"Asian Institute Of Medical Science","Plot No. P-72, Milap Nagar, MIDC, Dombivali (E), Mumbai - 421203, 0251-2475000
0251-2475001
0251-2475005",Mumbai
"Brijrani Memoral Hospital Prayagraj","3113-C HARWARA G T ROAD DHOOMANGANJ PRAYAGRAJ",Prayagraj
"Ramya Dental Care","569/153K, Bara Birwa, Barigava, Krsishna Nagar, Kanpur Road, near Balaji Complex, Lucknow, UP-226012.",Lucknow
"New G.T.Nursing Home","7/223, GutaiyaSwaroop Nagar, G.T. Road, Kanpur. Ph.0512-2531815, 2531111, 7505715566, 9451546480
E-mail :  info@newgtnursinghome.com",Kanpur
"Hosp7p126425 Kosmos Super Speciality Hospital","C-60, Anand Vihar (Vikas Marg), Delhi-110092.
Tel. No. 011-22160000/01. Nodal Officer: Mr. Abhishek Sharma Mob. No. 8447696223 kosmoshospital@gmail.com""
",DELHI/HQ/DIRECTORATE/MINISTRY
"Arun Kidney Centre, Vijayawada","#29-23-9, Tadepallivari Street, Suryaraopet, Vijayawada, NTR, Andhra Pradesh-520 002 Tel No.0866-2435664, Mail:arunkidneycentre123@gmail.com	Contact Person U Srinivas Rao Mob:9948672405 Nodal Officer ",Hyderabad
"Shri Radhakrishna Hospital","East Wardhman Nagar, Nagpur 440008. Tel: 0712 -268 0582, 279 0572",Nagpur
"Mmr Hospital, Raipur","Plot No.- 132, 133, Sector-9, Kamal Vihar, Raipur-492004 (C.G.) 
Contact No. :- Contact No.- 0771-2999940/41 Email:- corporate@mmrhospitals.com ",Nagpur
"Dr Mahale Dental Clinic","Office No. 105, Shree Nath Enclave, Near LIC Office, kute marg, near sandeep hotel, Mumbai Naka, Nashik - 422101",Mumbai
"Jeevan Jyoti Clinic Dehradun","C-19A,Turner Road, Clement Town, Dehradun- 248002",Dehradun
"Nirmaljot Eye Hospital","35/13 Mall Road Amritsar, Punjab",Chandigarh
"Institute Of Kidney Diseases And Research Centre","medicity, civil hospital campus, asarwaahmedabad - 380016
telephone no- (079)49017000",Ahmedabad
"Khare Dental And Implant Centre","289, Prakash Bhavan, Near Coffee House Square, Dharampeth, Nagpur-440010

0712-2556496, 9325364448, 9423404569
",Nagpur
"Smriti Raj Dentistry","Buidling No. 54, Basement, Sector-13, Dwarka, Landmark Pragati Pubic School, New Delhi 110075. Nodal Officer: Dr. Smriti Bhargava, Mob. 8527275521. Email. bhargava.smriti.raj@gmail.com",DELHI/HQ/DIRECTORATE/MINISTRY
"Chitrakoot Netra Chikitsalay","SHATABDIPURAM, BADI UKHRI CHOWK, NEAR GLOBAL HOSPITAL, JABALPUR",Jabalpur
"Lucknow Eye Hospital","82/031, Guru Govind Singh Marge, Lalkuan Lucknow- 226019                         ",Lucknow
"Shri Ram Super Speciality Surgical Centre Pvt. Ltd.","Plot No. 08, Opp. Hanwant School, Pal Road, Jodhpur-342003
",Jaipur
"The Hope Hospital And Healthcare Pvt. Ltd. Greater Noida","The Hope Hospital and Healthcare Pvt. Ltd. Nursing Home-20, Delta-2, Greater NOIDA, Uttar Pradesh- 201308. Nodal Officer: Dr. Vinoy Upadhyay, Mob. 9999399467. Email:  thehopehospitalgrnoidatpa@gmai",DELHI/HQ/DIRECTORATE/MINISTRY
"Kar Vision Eye Hospital","Plot No- 10, Janpath, Satyanagar, Bhubaneswar",Bhubaneswar
"Shanti Gopal Hospital","NH1, Ahinsa Khand, Indirapuram, Ghaziabad. Tel. No. 01201777000.",DELHI/HQ/DIRECTORATE/MINISTRY
"Samarpan Hospital","1072/1073, Binaki Layout, Sujata Nagar, Near Vaishali Nagar T Point,  Nagpur-440017",Nagpur
"Dr Kochar'S House Of Smiles, Chandigarh","1154, Sector-21 B, Chandigarh- 160022",Chandigarh
"Savera Cancer","G-5, G-6A, Dr. R. N. Singh, Road Lohia Nagar, Kankarbagh, Patna-800020",Patna
"Ruby General Hospital","576, Anandapur Main Rd, Golpark, Sector I, Kasba, Kolkata, West Bengal 700107 ",Kolkata
"Asia Hospital (A Unit Of Emedinova Marketing Pvt Ltd)","Agamkuan, Near Dhunki More, Kankarbagh Main Road, Patna-800026

Dr. Ashish Kumar Jaiswal, MS
Mob: 7004238741

Mr. Karn Kumar Singh, Administrative Head,
Mob. 7004656309
Email ID asiahospitalpatna@gmai",Patna
"Balaji Hospital","Victoria Road, Cross Lane No.Iii, Byculla(E) Mumbai-400027, 022-23740000",Mumbai
"Jain Hospital","177178, Jagriti Enclave, Vikas Marg Extn. Delhi. Tel. No. 01143055355, 9873788091.",DELHI/HQ/DIRECTORATE/MINISTRY
"Nawal Hospital And Trauma Centre  - Sonipat","Opposite Malwa Motors Village Kundli Sonipat Haryana -131028
Phone No. 8397064100
Nodal Office: DISHANT NAWAL
Mobile Number: 8295209888
Email Id. nawalhospital@yahoo.com
",DELHI/HQ/DIRECTORATE/MINISTRY
"Dant Chikitsa Kendra","E -7/MIG, 160, Arera  Colony, Bhopal (M.P)",Bhopal
"Eden Hospital","Plot No 115,Near Elante Mall, Industrial & Business Park,Phase-1, Chandigarh",Chandigarh
"Dr. Subodh Agrawal Memorial (Sam) Eye Hosp.","21/3C, Tilak Marg, (Off RanaPratap Marg), Hazratganj, Lucknow- 226001                    ",Lucknow
"Centre For Sight","562, 7C Road, Near satsang Bhawan",Jaipur
"Manoria Heart Care Center","A-1/40, Chunabhati, Bhopal (M.P), 0755-2422299",Bhopal
"Shubham Dental Clinic","Near Jain Mandir Ranjhi Jabalpur Tel No. 0761-
4001600 Mo.
9300161600",Jabalpur
"Vidarbha Diagnostics Pvt  Ltd","12, Milestone Building, Ground Floor, Ramdaspeth, Near Big Bazar, Lokmat Square Ramdaspeth, Wardha Road, Nagpur-440012.
9881900570, 9552551761, 9881743026
neralsudhir@gmail.com
",Nagpur
"Mpct Hospital","Plot No 7, Sector - 4, Sanpada, Navi Mumbai. 400705 , 022-27750000
022-27757363",Mumbai
"Oke Eye Hospital","98, Bajaj Nagar, Near CIIMS hospital, Nagpur-440010                  Email:-  okenabheco@gmail.com",Nagpur
"Sri Sri Holistic Hospitals, Kphb","MIG  113 ",Hyderabad
"Jawahar Eye & Ent & Laser Centre,","194/15, Delhi Road opposite Roadways Bus Stand, Meerut Cantt. Ph. NO. 9927778477",Meerut
"Bhupal Hospital","159, Begum Bagh, Meerut-250001",Meerut
"Tmu Hospital","Delhi Road, Moradabad",Meerut
"Ashwini Hospital","SECTOR-1,CDA,CUTTACK",Bhubaneswar
"Ojas Eye Care","B 101,102, SWAMINARAYAN AVENUE, AEC CROSS ROAD, NEAR TORRENT POWER OFFICE,NARANPURA,AHMEDABAD-380013.Dr. Punit Gohel-Ph-8160961241
e-mail- punitgohel@gmail.com ",Ahmedabad
"Dafodil Hospitals Pvt. Ltd.,","276, Canal St, Sreebhumi, Lake Town, South Dumdum, West Bengal 700048",Kolkata
"Ahuja Laser Eye Centre","212 Permanand Colony, (Near Mukherjee Nagar), Delhi.Tel.No.011 27608817,27427761.",DELHI/HQ/DIRECTORATE/MINISTRY
"J.K. Hospital Dental Care Centre, Prayagraj","38/53, D BAI KA BAGH, PRAYAGARAJ",Prayagraj
"Shradha Health Care Pvt Ltd (Dental)","15, SN Roy Rd, Sahapur, New Alipore, Kolkata, West Bengal 700038",Kolkata
"Ujala Cygnus Kashmir Superspeciality Hospital","Nowgam Bypass, Near Pohru Crossing, Srinagar-190015 (J",Chandigarh
"Radium Eye Centre Llp","A1/11, Third Floor, Sector8, Rohini, Delhi  110085. Tel. No. 01147050547.",DELHI/HQ/DIRECTORATE/MINISTRY
"Bansara Eye Care Centre","LADY VERONICA LANE, LAITUMKHRAH, SHILLONG - 793 003, MEGHALAYATele No:-(+91) 9612875101/ 0364-2222348Email:bansara.eyecare@gmail.com",Shillong
"Primus Multispeciality Hospital","A-1 shivlok Colony Raipur Road,Dehradun",Dehradun
"Maa Nursing Home And Netrajyoti Eyecare Centre","Himachal Building, S.V.Road, Opp Sundar Nagar, Malad West, Mumbai-400064, 022-28752102/4400",Mumbai
"Asg  Eye Hospital Mysuru",MYSURU,Bengaluru
"Vision Care & Research Centre,","E-7/378, Main Rd No. 3, opp. Hanuman Mandir, 1100 Quarters, Arera Colony, Bhopal, Madhya Pradesh 462016",Bhopal
"C S N Netralaya Pvt. Ltd.","colony more, kankarbagh, Patna - 800020 Dr. Shivendra Sahay Ph. 9608697118 csnihospital@rediffmail.com",Patna
"Vision Eye Centre","12/27, West Patel Nagar, New Delhi. Tel No. 011258821219.",DELHI/HQ/DIRECTORATE/MINISTRY
"Anupam Eye Hospital","C-30, Pankaj Singhvi Marg Vidhansabha Road,Lal Kothi  Jaipur",Jaipur
"Sgs Multispeciality Hospital","118-118-A, 50 Foot road, Nihar Vihar, Nangloi New Delhi-110041, Nodal Officer Dr Sushil Agarwala, Mob. No. 9310271252  Email Id sgsmultispecialityhospital@gmail.com Empanelled w.e.f. 15.01.2024 ",DELHI/HQ/DIRECTORATE/MINISTRY
"Shat Ayu Critical Care, Polytrauma Centre & Multispeciality Hospital","Wardha Road, Near Hitavada Press, Dhantoli, Nagpur-440012.

0712-2463041/2447162 /2420742
shatayuhospital@gmail.com
",Nagpur
"Mehrotra Diagnostic & Ent Hospital Llp","Mehrotra Diagnostic, 111/399 Ashok Nagar, Kanpur. Ph- 2534418, E-mail Id:
mehrotraenthospital@rediffmail.com",Kanpur
"Vijaya Diagnostic Centre Pvt. Ltd.","DBlock, Palam Vihar, Opp. Mother Dairy, Near Vyapar Kendra, Gurgaon122017. Tel. No. 01244592222",DELHI/HQ/DIRECTORATE/MINISTRY
"Envision Eye Hospital","5th Floor, Sharma Estate, Next to Mina Hotel, S. V. Road, Jogeshwari West, Mumbai-400102",Mumbai
"Medicaid Hospital"," Circular road, Near Rattan Singh Chowk, Amritsar -143001 
Tel:0183-2425700  Mob:8288082870
",Chandigarh
"Hcg Manavata Cancer Centre","HCG Manavata Oncology LLP, Plot Number 64 ",Mumbai
"Dr. Adarsh Heart","13 Basant Avenue, Near Rattan Singh Chowk, Circular Road, Amritsar
Ph. 0183-5005599",Chandigarh
"Eye-Q Vision Private Limited"," Mod, Sadar Thana Rd, Haqikatnagar, Saharanpur, Uttar Pradesh 247001
Mob. No.9999244049,7824872100",Meerut
"Doctor Eye Institute Pvt.Ltd","Spenta Mansion, S.V.Road, Andheri (W), Mumbai-400058, 022-26284103/7165",Mumbai
"Fortis Hospitals Limited Cunningham Road Limited.","cghsfortiscgroad @fortishealthcare.com",Bengaluru
"Venkateshwar Hospital","Sector18A, Dwarka, New Delhi110075. Tel. No. 01148555555/66.",DELHI/HQ/DIRECTORATE/MINISTRY
"Aristo Hospital","Shankar Colony Old DC Road Sonepat
Nodal Officer 
Dr. Sanjay Jain
Mob. 8396820131
aristotrauma@gmail.com",DELHI/HQ/DIRECTORATE/MINISTRY
"Global Heart & General Hospital Private Limited","C-1-27-29 , opp. Bharat Appartment ",Jaipur
"Metropolis Health Care Ltd.","F2, B1, Mohan Cooperative Inds. Estate, Mathura Road, New Delhi. 9650889932. ",DELHI/HQ/DIRECTORATE/MINISTRY
"Siddhivinayak Maternity & General Hospital","2nd Floor, S-1, Vedant Complex, Vartak Nagar, above Nisarga Hotel,
 Thane (W) - 400 606, 022-25883531",Mumbai
"Shanti Nursing Home And Multispeciality Hospital","1st Floor, Blue Flame Apt., Above Kondor Interiors, Opp. Jama Masjid, S.V. Road, Bandra(W), Mumbai-400050, 022-26421144 9004087382",Mumbai
"Metro Manas Arogya Sadan Heart Care & Multispecility Hospital, Jaipur","SECTOR-5 SHIPRA PATH ",Jaipur
"Drishti Eye & Ent Care","Plot No. 8, GF, Sector5, Vaishali, Ghaziabad. Tel. No. 01204965656",DELHI/HQ/DIRECTORATE/MINISTRY
"Neo Vision Eye Care & Laser Centre Pvt.Ltd.,","H.No.7-102/7, First Floor Sandhya Enclave, Main Road, Habsiguda, Habsiguda, Hyderabad-500007, Tel.No.040-40122177",Hyderabad
"Airmed Pathology Pvt.","31, AMBIKA SOCIETY, NR. KALOL NAGARIK SAHAKARI BANK, USMANPURA, AHMEDABAD - 380013.
Amit Gupta-Mob.8511195349/8401811719/9724057766",Ahmedabad
"M.S.Reddy Lions Eye Hospital","Nodal Officer :",Hyderabad
"Mukat Hospital & Heart Institute, Chandiagarh","SCO No. 47-49, Sector 34-A, Chandigarh",Chandigarh
"M/S. Puthalath Eye Hospital","(A unit of North South Eye Care Associates Pvt. Ltd), 27/1239 C, C1, C2, Mini Bypass Road, Kalluthankadavu, Puthiyara P O., Kozhikode",Trivandrum
"Chhavi Eye Hospital","2567, Near Telecom  Factory Gate No.2 Madan Mahal Station Road, Wright Town Jabalpur Tel
0761-2414227",Jabalpur
"Bone And Joint Hospital And Research Centre Pvt. Ltd.","Plot No.-3, Shyam Nagar, Pal Link Road, Jodhpur",Jaipur
"Yashoda Hospital And Research Centre","IIIM, Nehru Nagar, Ghaziabad. Tel.No. 0120 418 2000 (30 lines), 0120 2750001,2.3.4 ",DELHI/HQ/DIRECTORATE/MINISTRY
"Aditya Jyot Eye Hospital","153-Major Parmewar, A.N.Road, Wadala (W), Mumbai-400031, 022-65102690/24177600",Mumbai
"Care Hospital, Varanasi","DLW Road, Dlw, Varanasi - 221004 (Near Allahabad Bank, Newada, Bhikhari Pur)",Prayagraj
"Sg Hospital An Abode Of Holistic Healthcare","18 A NOIDA Dadri Road Tilpta Karanwas Opp Denso Company Gate No 1 Greater NOIDA Gautam Budh Nagar UP Dr Ashish Kumar Jaiswal Mob 9650176737",DELHI/HQ/DIRECTORATE/MINISTRY
"R.K.Devi Memorial Hospital","113/157, Swaroop Nagar, Kanpur Ph.9670228822, 9670229955, 9670229933",Kanpur
"Mazhuvenchery Speciality Dental Clinic","Viii, 1413, Bridge Road, By Pass JN, Aluva",Trivandrum
"Srv Mamata Hospital","P.43, Phase-II, MIDC, Next to ICICI Bank, Dombivli (East), Thane, Mumbai - 421203",Mumbai
"Apollo Clinic (Techno Medicals India)","Techno Heritage, 129/2/1-A Jahangirabad Palace, 12 Rani Laxmi Bai Marg, Hazratganj,Lucknow-226001.",Lucknow
"Guru Kripa Jagrati Hospital & Research Centre,","124/A/1 THORNHIL ROAD, CIVIL LINES, ALLAHABAD",Prayagraj
"Harni Dental, Visakhapatnam","9-5-52/A, Ground Floor Pithapuram Colony, Maddilapalem, Visakhapatnam - 530017                    0891-  2572074",Hyderabad
"M/S. Maltamba Dental Hospital","D.No.10-134, PM Palem Traffic Police station Road, PM Palem, Visakhapatnam-530 041. malatambadentalhospital@yahoo.com
contach person K Rupa - 8019342916 Nodal officer - Dr Saikrishna Mohanty - 8897464",Hyderabad
"""Avs   Wellness Hospitals  Ameerpet","""H.No. 7-1-27/2 ",Hyderabad
"National Heart Institute","4950, Community Centre, East of Kailash, New Delhi. Tel. No.011 46606600.",DELHI/HQ/DIRECTORATE/MINISTRY
"Asian City Hospital (A Unit Of Blue Sapphire Healthcare)","Behind P",Patna
"Centre For Sight, A Unit Of New Delhi Centre For Sight Ltd","E-228, Ambedkar Road Nehru Nagar, Ghaziabad-201002. Nodal Officer: Sumitabh Satsangi, Mob. 9958422442. Email. sumitabh.satsangi@centreforsight.net",DELHI/HQ/DIRECTORATE/MINISTRY
"North East Health Care Pvt Ltd (Marengo Asia Hospitals)","Golf Course Extn. Road, Sushant LokII, Sector56, Gurgaon122011. Tel. No. 01244131091.",DELHI/HQ/DIRECTORATE/MINISTRY
"Popular Medicare Ltd,","DLW Rd, Bajardiha, Varanasi, Uttar Pradesh 221005",Prayagraj
"New Era Mother","Plot No.- 35, Pragati Housing Society, Near Chatrapati Square, Wardha Road, Nagpur-440015, Contact No. :- 8956657598, Email:- billingmch@newerahospitals.com",Nagpur
"Livasa Hospital -Amritsar	(A Unit Of Ivy Health And Life Sci","Airport Road Village Heir Amritsar, Punjab 143001",Chandigarh
"Excelcare Hospital","103, Sanjay Nagar-A, Joshi Marg, Kalwar Road, Jothwara, Jaipur ",Jaipur
"Ansari Hospital","RZ20F/B, Street No.6, Behind Laxmi Nagar Mandir, Main Sagarpur, New Delhi110046.",DELHI/HQ/DIRECTORATE/MINISTRY
"Pace Hospitals (A Unit Of Omrv  Hospitals Pvt. Ltd)","Plot No. 23, Huda Techno Enclave, Madhapur, Hyderabad - 500081. Tel. No. 040-48486868,                  ",Hyderabad
"Pioneer Hospital","349-351, DIAMOND COMMERCIAL COMPLEX, SOMATANE PHATA; TAL. MAVAL; PUNE - 410506",Pune
"Sudarshan Poly Dental Centre","Shop No. 21 (Basement) Old Delhi Road, Near Union Bank, Sector14, Gurgaon122001. Tel. No.01244087830.",DELHI/HQ/DIRECTORATE/MINISTRY
